price,rooms,bathrooms,squarefootage,province,amountamenities
74587.49999999999,1.0,2.0,71.0,1,14.0
74587.49999999999,1.0,2.0,71.0,1,14.0
138125.0,2.0,2.5,145.0,1,12.0
29205.453094192213,3.0,2.5,135.0,1,9.0
138125.0,3.0,2.5,180.0,1,11.0
66300.0,1.0,2.0,70.0,1,14.0
60775.0,3.0,2.5,200.0,1,11.0
71825.0,3.0,2.5,130.0,1,2.0
66300.0,2.0,2.5,163.0,1,9.0
99450,4.0,4.5,325.0,1,15.0
66300.0,1.0,2.0,70.0,1,14.0
29205.453094192213,3.0,2.5,135.0,1,9.0
88400.0,3.0,2.5,147.0,1,8.0
41437.49999999999,2.0,2.5,130.0,1,9.0
99450.0,1.0,1.5,76.0,1,9.0
143650.0,2.0,2.5,116.0,1,24.0
193375.0,3.0,3.5,340.0,1,16.0
54697.5,1.0,1.0,71.0,1,15.0
66300.0,1.0,1.5,85.0,1,13.0
77349.99999999999,2.0,2.0,85.0,1,15.0
71825.0,1.0,1.5,78.0,1,15.0
99450.0,3.0,2.5,150.0,1,13.0
66300.0,1.0,1.5,85.0,1,17.0
88400.0,2.0,1.5,133.0,1,9.0
82874.99999999999,1.0,1.5,100.0,1,17.0
80112.49999999999,3.0,2.5,178.0,1,15.0
193375.0,3.0,3.5,170.0,1,19.0
99450.0,2.0,2.5,130.0,1,12.0
71825.0,1.0,1.5,85.0,1,8.0
138125.0,3.0,3.5,188.0,1,19.0
88400.0,2.0,2.0,118.0,1,16.0
66300.0,1.0,1.5,65.0,1,16.0
41437.49999999999,2.0,2.5,160.0,1,12.0
88400.0,3.0,3.5,148.0,1,20.0
93925.0,3.0,3.5,155.0,1,14.0
66300.0,1.0,2.0,61.0,1,5.0
60775.0,1.0,1.0,60.0,1,4.0
88400.0,1.0,2.0,90.0,1,7.0
60775.0,1.0,1.5,82.0,1,5.0
138125.0,2.0,2.5,145.0,1,4.0
71825.0,1.0,1.5,70.0,1,4.0
69062.5,1.0,1.5,74.0,1,3.0
77349.99999999999,1.0,2.0,76.0,1,8.0
77349.99999999999,1.0,2.0,70.0,1,7.0
74587.49999999999,1.0,2.0,71.0,1,10.0
66300.0,1.0,2.0,50.0,1,7.0
66300.0,1.0,1.5,68.0,1,7.0
121550.0,2.0,4.5,200.0,1,7.0
