price,rooms,bathrooms,squarefootage,province,amountamenities
77349.99999999999,1.0,2.0,76.0,Santo Domingo,13.0
143650.0,3.0,3.5,420.0,San Pedro De Macoris,14.0
129837.5,3.0,2.5,189.0,Santo Domingo,18.0
46962.5,1.0,1.5,70.0,Santo Domingo,12.0
44200.0,1.0,1.5,67.0,Santo Domingo,10.0
149174.99999999997,3.0,3.5,160.0,Santo Domingo,18.0
63537.5,1.0,1.5,78.0,Santo Domingo,12.0
118787.49999999997,2.0,2.5,157.0,Santo Domingo,3.0
71825.0,2.0,2.5,145.0,Santo Domingo,21.0
44200.0,1.0,1.5,75.0,Santo Domingo,22.0
66300.0,2.0,2.0,110.0,Santo Domingo,2.0
93925.0,3.0,3.5,350.0,Santo Domingo,13.0
110499.99999999999,3.0,2.5,165.0,Santo Domingo,23.0
58012.5,1.0,2.0,72.0,Santo Domingo,12.0
71825.0,1.0,1.5,85.0,Santo Domingo,22.0
127075.0,3.0,2.5,180.0,Santo Domingo,18.0
91162.5,2.0,2.5,140.0,Santo Domingo,22.0
138125.0,2.0,2.5,105.0,Santo Domingo,9.0
63537.5,1.0,1.5,63.0,Santo Domingo,8.0
69062.5,3.0,2.5,180.0,Santo Domingo,8.0
52487.49999999999,3.0,3.5,145.0,Santo Domingo,3.0
121550.0,3.0,2.5,192.0,Santo Domingo,5.0
55249.99999999999,2.0,2.5,93.0,Santo Domingo,4.0
127075.0,3.0,3.5,200.0,Santo Domingo,8.0
93925.0,3.0,3.5,225.0,Santo Domingo,4.0
77349.99999999999,3.0,2.5,148.0,Santo Domingo,8.0
71825.0,3.0,2.5,179.0,Santo Domingo,17.0
71825.0,3.0,3.5,175.0,Santo Domingo,5.0
63537.5,3.0,2.5,172.0,Santo Domingo,6.0
143650.0,4.0,3.5,500.0,Santo Domingo,5.0
58012.5,1.0,1.5,89.0,Santo Domingo,8.0
77349.99999999999,2.0,2.5,125.0,Santo Domingo,9.0
88400.0,3.0,2.5,165.0,Santo Domingo,10.0
55249.99999999999,2.0,2.5,148.0,Santo Domingo,9.0
41437.49999999999,1.0,1.5,90.0,Santo Domingo,9.0
51106.25,1.0,1.5,75.0,Santo Domingo,10.0
58012.5,1.0,2.0,60.0,Santo Domingo,7.0
99450.0,3.0,2.5,185.0,Santo Domingo,9.0
67681.25,1.0,1.5,65.0,Santo Domingo,12.0
66300.0,2.0,2.5,150.0,Santo Domingo,11.0
27624.999999999996,2.0,2.0,80.0,La Altagracia,9.0
138125.0,2.0,2.0,98.0,Santo Domingo,11.0
80112.49999999999,5.0,1.0,73.0,Santo Domingo,5.0
60775.0,2.0,2.0,137.0,Santo Domingo,8.0
110499.99999999999,3.0,2.5,140.0,Santo Domingo,13.0
41437.49999999999,2.0,2.5,117.0,Santo Domingo,6.0
52487.49999999999,2.0,2.5,70.0,Santo Domingo,9.0
60775.0,3.0,2.0,145.0,Santo Domingo,10.0
52487.49999999999,2.0,2.5,128.0,Santo Domingo,7.0
60775.0,3.0,3.5,200.0,Santo Domingo,7.0
75968.74999999999,2.0,2.5,134.0,Santo Domingo,10.0
66300.0,1.0,1.5,75.0,Santo Domingo,12.0
82874.99999999999,3.0,2.5,190.0,Santo Domingo,12.0
63537.5,1.0,1.5,72.0,Santo Domingo,9.0
71825.0,1.0,1.5,66.0,Santo Domingo,11.0
71825.0,3.0,2.5,144.0,Santo Domingo,9.0
121550.0,2.0,2.5,200.0,Santo Domingo,13.0
66300.0,1.0,1.5,72.0,Santo Domingo,13.0
121550.0,3.0,2.5,200.0,Santo Domingo,16.0
77349.99999999999,2.0,2.5,135.0,Santo Domingo,14.0
49725.0,1.0,1.5,60.0,Santo Domingo,11.0
46962.5,2.0,2.5,85.0,Santo Domingo,11.0
110499.99999999999,3.0,3.5,200.0,Santo Domingo,14.0
55249.99999999999,3.0,2.5,180.0,Santo Domingo,9.0
77349.99999999999,2.0,2.5,185.0,Santo Domingo,21.0
46962.5,1.0,1.0,75.0,Santo Domingo,13.0
138125.0,3.0,3.5,188.0,Santo Domingo,19.0
41437.49999999999,1.0,1.0,70.0,Santo Domingo,3.0
71825.0,5.0,1.0,73.0,Santo Domingo,5.0
143650.0,3.0,3.5,155.0,Santo Domingo,22.0
82874.99999999999,1.0,1.5,88.0,Santo Domingo,18.0
82874.99999999999,3.0,3.5,210.0,Santo Domingo,17.0
46962.5,2.0,2.0,105.0,Santo Domingo,10.0
193375.0,4.0,4.5,334.0,Santo Domingo,20.0
138125.0,2.0,2.5,111.0,Santo Domingo,8.0
66300.0,3.0,2.5,170.0,Santo Domingo,5.0
80112.49999999999,2.0,2.5,160.0,Santo Domingo,10.0
138125.0,2.0,2.5,145.0,Santo Domingo,15.0
143650.0,3.0,3.5,262.0,Santo Domingo,10.0
66300.0,3.0,2.5,148.0,Santo Domingo,15.0
63537.5,3.0,2.5,165.0,Santo Domingo,6.0
157462.49999999997,3.0,3.5,262.0,Santo Domingo,8.0
102212.5,3.0,3.5,201.0,Santo Domingo,9.0
99450.0,2.0,2.5,130.0,Santo Domingo,9.0
77349.99999999999,2.0,2.0,147.0,Santo Domingo,4.0
66300.0,3.0,2.0,147.0,Santo Domingo,3.0
46962.5,1.0,1.5,72.0,Santo Domingo,12.0
149174.99999999997,4.0,3.0,450.0,Santo Domingo,14.0
82874.99999999999,3.0,2.5,300.0,Santo Domingo,4.0
127075.0,3.0,2.5,195.0,Santo Domingo,8.0
71825.0,3.0,2.5,332.0,Santo Domingo,11.0
55249.99999999999,1.0,1.0,45.0,Santo Domingo,4.0
127075.0,3.0,2.5,195.0,Santo Domingo,7.0
60775.0,1.0,1.5,75.0,Santo Domingo,5.0
71825.0,2.0,2.5,160.0,Santo Domingo,16.0
44200.0,1.0,2.5,92.0,Santo Domingo,2.0
82874.99999999999,2.0,2.5,155.0,Santo Domingo,5.0
71825.0,1.0,2.0,70.0,Santo Domingo,7.0
165749.99999999997,3.0,3.5,410.0,Santo Domingo,4.0
99450.0,3.0,3.5,450.0,Santo Domingo,3.0
48675.75515698701,3.0,2.5,148.0,Santo Domingo,6.0
66300.0,1.0,2.0,50.0,Santo Domingo,7.0
80112.49999999999,1.0,1.5,64.0,Santo Domingo,5.0
193375.0,3.0,3.5,310.0,Santo Domingo,16.0
43808.17964128832,3.0,2.5,143.0,Santo Domingo,3.0
69062.5,2.0,2.5,113.0,Santo Domingo,11.0
66300.0,3.0,2.5,160.0,Santo Domingo,1.0
138125.0,3.0,3.5,250.0,Santo Domingo,11.0
74587.49999999999,2.0,2.5,150.0,Santo Domingo,13.0
44200.0,2.0,2.5,107.0,Santo Domingo,8.0
102212.5,3.0,3.5,175.0,Santo Domingo,14.0
88400.0,3.0,3.5,230.0,Santo Domingo,16.0
118787.49999999997,3.0,3.5,166.0,Santo Domingo,5.0
165749.99999999997,3.0,3.5,210.0,Santo Domingo,18.0
102212.5,3.0,3.5,236.0,Santo Domingo,10.0
82874.99999999999,1.0,1.5,90.0,Santo Domingo,11.0
119340.0,1.0,2.0,288.0,Santo Domingo,2.0
63278.48170408312,3.0,2.5,171.0,Santo Domingo,14.0
65225.511910362606,3.0,2.0,232.0,Santo Domingo,28.0
138125.0,2.0,2.5,145.0,Santo Domingo,9.0
193375.0,3.0,3.5,360.0,San Pedro De Macoris,11.0
48343.75,2.0,2.5,86.0,Santo Domingo,8.0
93925.0,3.0,3.5,155.0,Santo Domingo,14.0
187850.0,3.0,3.5,260.0,Santo Domingo,10.0
46962.5,1.0,1.5,95.0,Santo Domingo,12.0
55249.99999999999,1.0,1.0,60.0,Santo Domingo,11.0
71825.0,2.0,2.5,160.0,Santo Domingo,16.0
71825.0,3.0,2.5,332.0,Santo Domingo,11.0
66300.0,3.0,2.5,148.0,Santo Domingo,15.0
31639.24085204156,3.0,2.0,113.0,Santo Domingo,5.0
93925.0,2.0,2.5,92.0,Santo Domingo,15.0
127075.0,3.0,2.5,195.0,Santo Domingo,8.0
82874.99999999999,2.0,2.0,134.0,Santo Domingo,14.0
60775.0,2.0,1.0,91.0,Santo Domingo,8.0
